time,positive,negative,totalCount,weatherPositive,weatherNegative,weatherCount,aqi
2019-06-22 23,171,1020,1746,0,23,28,37
2019-06-23 00,171,1001,1691,6,32,44,33
2019-06-23 01,184,1036,1784,5,40,52,33
2019-06-23 02,233,1039,1875,4,33,48,33
2019-06-23 03,204,1045,1801,5,40,58,33
2019-06-23 04,163,1029,1784,2,25,34,37
2019-06-23 05,205,930,1623,1,35,44,33
2019-06-23 06,126,810,1345,4,27,39,40
2019-06-23 07,102,516,882,2,13,20,50
2019-06-23 08,77,332,583,1,9,10,50
2019-06-23 09,27,200,332,0,5,5,50
2019-06-23 10,24,133,243,0,5,8,50
2019-06-23 11,14,121,197,0,6,6,53
2019-06-23 13,34,170,286,0,11,12,59
2019-06-23 14,86,348,613,2,15,19,61
2019-06-23 15,97,661,1070,0,26,33,63
2019-06-23 16,139,931,1523,0,30,41,65
2019-06-23 17,177,1191,1887,4,51,63,65
2019-06-23 18,153,1155,1816,2,43,56,65
2019-06-23 19,197,1164,1895,5,43,55,61
2019-06-23 20,162,1062,1745,3,36,50,59
2019-06-23 21,192,1086,1838,2,54,72,61
2019-06-23 22,178,1104,1804,1,35,44,61
2019-06-23 23,186,1032,1793,3,35,48,62
2019-06-24 00,197,1270,2180,3,39,60,64
2019-06-24 01,195,1309,2173,5,43,61,68
2019-06-24 02,210,1255,2127,6,36,58,68
2019-06-24 03,245,1257,2158,1,33,44,69
2019-06-24 04,324,1759,3323,6,55,73,76
2019-06-24 05,247,1367,2399,4,37,55,71
2019-06-24 06,156,767,1369,3,26,31,74
2019-06-24 07,107,477,880,0,19,23,78
2019-06-24 08,54,306,523,1,6,10,79
2019-06-24 09,27,180,297,0,2,4,92
2019-06-24 10,9,83,149,0,2,5,96
2019-06-24 11,11,69,131,1,2,4,134
2019-06-24 12,28,130,212,1,9,11,101
2019-06-24 13,71,366,616,3,26,39,152
2019-06-25 03,262,1400,2372,5,47,63,24
2019-06-25 04,360,2037,3732,5,63,90,24
2019-06-25 05,315,1795,3199,3,55,77,38
2019-06-25 06,175,937,1684,2,39,47,46
2019-06-25 07,99,522,916,1,15,22,32
2019-06-25 08,44,296,470,1,8,14,43
2019-06-25 09,16,186,277,0,7,9,58
2019-06-25 10,14,107,175,0,3,4,62
2019-06-25 11,25,125,223,0,1,2,65
2019-06-25 12,22,161,255,1,4,7,67
2019-06-25 13,56,329,532,1,18,22,76
2019-06-25 14,133,756,1279,5,42,57,85
2019-06-22 12,36,142,243,0,4,5,29
2019-06-22 13,87,231,437,0,8,12,27
2019-06-22 14,109,493,835,0,24,28,26
2019-06-22 15,159,842,1412,2,34,46,23
2019-06-22 16,198,969,1751,3,32,45,21
2019-06-22 17,229,1199,2056,3,49,71,29
2019-06-22 18,177,1114,1850,6,46,60,29
2019-06-22 19,207,1152,1960,5,47,65,33
2019-06-22 20,163,1101,1819,1,58,77,37
2019-06-22 21,179,1186,1919,4,38,51,41
2019-06-22 22,156,1032,1698,4,37,49,37
2019-06-24 14,109,645,1072,1,30,43,134
2019-06-24 15,151,1015,1614,4,44,56,107
2019-06-24 16,155,1048,1641,3,49,67,48
2019-06-24 17,166,1068,1740,2,46,61,36
2019-06-24 18,136,1099,1744,1,52,67,38
2019-06-24 19,161,1184,1900,4,49,74,35
2019-06-24 20,178,1197,1857,3,54,74,32
2019-06-24 21,142,1071,1708,3,52,68,31
2019-06-24 22,158,1045,1710,2,42,52,26
2019-06-24 23,199,1147,1878,3,44,58,30
2019-06-25 00,185,1190,1953,5,52,72,30
2019-06-25 01,208,1288,2138,5,56,80,26
2019-06-25 02,223,1324,2173,2,52,67,25
2019-06-23 12,9,103,167,0,2,2,57
2019-06-26 17,206,1223,2076,10,78,120,52
2019-06-26 18,210,1270,2109,4,75,105,48
2019-06-26 19,222,1323,2177,3,63,83,42
2019-06-26 20,199,1289,2083,5,69,86,39
2019-06-26 21,175,1028,1769,5,48,68,31
2019-06-26 22,158,1042,1719,2,42,58,27
2019-06-26 23,180,1082,1801,7,43,63,23
2019-06-27 18,205,1189,1943,5,61,85,21
2019-06-27 19,216,1097,1849,2,57,75,20
2019-06-27 20,197,1116,1825,8,63,85,20
2019-06-27 21,211,1094,1862,7,60,88,20
2019-06-27 22,140,1047,1641,6,52,72,23
2019-06-27 23,182,1036,1749,4,66,83,25
2019-06-28 00,185,1231,2039,5,66,94,24
2019-06-28 07,113,560,1047,6,10,19,34
2019-06-28 08,52,330,552,1,11,17,34
2019-06-28 09,18,162,265,0,5,7,31
2019-06-28 10,29,106,195,1,3,5,31
2019-06-28 11,17,102,169,2,0,4,36
2019-06-28 12,23,152,247,0,11,13,41
2019-06-28 13,76,305,548,6,20,28,49
2019-06-27 04,359,1830,3302,8,66,100,19
2019-06-27 05,225,1248,2190,8,38,60,16
2019-06-27 06,174,935,1622,3,29,42,14
2019-06-27 07,93,542,925,3,19,26,13
2019-06-27 08,53,216,421,0,11,13,15
2019-06-27 09,21,193,328,1,6,9,15
2019-06-25 15,182,1141,1862,4,53,68,79
2019-06-25 16,194,1234,2004,8,60,81,72
2019-06-25 17,182,1248,1965,7,69,93,57
2019-06-25 18,193,1150,1876,5,54,74,49
2019-06-25 19,208,1109,1882,2,62,81,48
2019-06-25 20,187,1182,1883,5,56,75,39
2019-06-25 21,203,1244,2094,3,65,86,37
2019-06-25 22,169,1072,1773,5,43,63,51
2019-06-25 23,199,1144,1917,3,55,79,66
2019-06-26 00,191,1183,1980,6,46,66,53
2019-06-26 01,182,1143,1875,7,57,73,52
2019-06-26 02,219,1321,2203,7,62,79,55
2019-06-26 03,222,1353,2300,6,70,98,65
2019-06-26 04,286,1841,3252,5,64,91,69
2019-06-26 05,278,1504,2581,7,47,69,76
2019-06-26 06,186,1025,1726,4,29,45,74
2019-06-26 07,78,567,972,1,23,32,65
2019-06-26 08,45,324,532,0,12,16,62
2019-06-26 09,22,158,246,0,8,8,68
2019-06-26 10,13,113,182,0,9,9,54
2019-06-26 11,15,102,159,0,6,6,52
2019-06-26 12,22,137,229,0,12,16,50
2019-06-26 13,53,370,602,0,30,31,58
2019-06-26 14,152,808,1335,4,48,56,59
2019-06-26 15,174,1162,1849,3,76,90,55
2019-06-26 16,192,1283,2062,7,64,97,48
2019-06-27 00,195,1283,2097,5,67,87,23
2019-06-27 01,213,1327,2167,4,55,72,22
2019-06-27 02,263,1431,2369,4,57,76,20
2019-06-27 03,249,1379,2313,5,49,65,21
2019-06-27 10,15,85,134,0,4,5,19
2019-06-27 11,26,113,188,2,4,6,26
2019-06-27 12,30,171,258,3,7,10,28
2019-06-27 13,72,297,530,3,21,31,29
2019-06-27 14,116,655,1103,6,30,44,28
2019-06-27 15,182,911,1579,4,38,52,28
2019-06-27 16,209,1071,1778,9,53,71,26
2019-06-27 17,177,1175,1911,3,59,70,23
2019-06-28 01,232,1187,2055,10,63,92,24
2019-06-28 02,228,1333,2203,9,64,90,24
2019-06-28 03,260,1306,2244,6,66,88,29
2019-06-28 04,370,1799,3262,9,64,97,31
2019-06-28 05,358,1805,3348,6,67,84,32
2019-06-28 06,170,1009,1702,4,33,48,32
2019-06-28 14,78,460,809,2,17,31,40