1133348606986133506,1559046339000,NY,-1,Heal yourself, first. The rest will come later.âš¡ï¸ğŸŒŸâœ¨ğŸ’« #tranquilityatwork @ New York, New York https://t.co/HOqPHZVs9R
1133349097006440448,1559046455000,NY,-1,Good morning New York ğŸŒ Letâ€™s knock out this short week ğŸ‘ŠğŸ¼â€”â€”ğŸ“¸ design by jcohlermasondesign ğŸ¤©. The @kbshowhouse is on through May 30th - be sure to check it out! @ Upper East Side https://t.co/7gFy9GMoCp
1133349188715073536,1559046477000,NY,-1,Morning thoughts before pre dawn workout 5/28/19 #1 #RevAlsMorningThoughts @ Manhattan, New York https://t.co/1mzoFYqzX3
1133349290070499328,1559046502000,NY,-1,Morning thoughts during pre dawn workout in the fitness room 5/28/19 #2 #RevAlsMorningThoughts @ Manhattan, New York https://t.co/rICX1u8lQm
1133349357632262145,1559046518000,NY,-1,Morning thoughts after pre dawn workout 5/28/19 #3 #RevAlsMorningThoughts @ Manhattan, New York https://t.co/Z04AuEDZFH
1133350409953792000,1559046769000,NY,0,Happy National Hamburger Day. @ Manhattan, New York https://t.co/gUhoMFjyfc
1133350417763590145,1559046770000,NY,-1,ğŸ˜«ğŸ˜«ğŸ˜«ğŸ˜’ğŸ™„ @ Laurelton, New York https://t.co/xmTzIMJHM6
1133350524298833920,1559046796000,NY,-1,In To The Tartlet Game - Spring Green TartğŸŒ¿ğŸƒğŸ˜ŠğŸ™ğŸ» #spring #nyc #season #tart #green @ New York, New York https://t.co/6EJa9Y2r6p
1133350561225617408,1559046805000,NY,-1,I'm at 330 West 34th Street in New York, NY https://t.co/CLGFjwUWSE
1133350591965663232,1559046812000,NY,-1,I'm at New York & Company Headquarters in New York, NY https://t.co/pSQ4QIBkfa
1133350897289797638,1559046885000,NY,0,Interested in a job in New York, NY? This could be a great fit: https://t.co/7rE8m4LMTm #Retail #TheBigApple
1133605469774336000,1559107580000,NY,0,Updated: Incident on #GeorgeWashingtonBridge WB at New York Side/Upper Level https://t.co/AWeCQ1gbgh
1133605469665288192,1559107579000,NY,0,Updated: Incident on #GeorgeWashingtonBridge WB at New York Side/Upper Level https://t.co/O221HjM4wS
1133605494298484736,1559107585000,NY,0,Tommy talking about                        the New York City subway                and/or New York City                      Real Estate                                       Me https://t.co/W4FQb6fVn5
1133607215502372866,1559107996000,NY,-1,#MyWCW #MyWCE #MyFiancÃ© #MyQueen #MrsPurpleHaze queen_mrs_purplehaze @ New York, New York https://t.co/vfL7vuVa1X
1133607702557540352,1559108112000,NY,1,Bust your grill with skill, as we build and fulfill... @ New York, New York https://t.co/rpCZOnS3wa
1133609110509895682,1559108448000,NY,-1,#MyWCW #MyWCE #MrsPurpleHaze queen_mrs_purplehaze #MyQueen @ New York, New York https://t.co/o1nvUz8Tjb
1133609471303929857,1559108534000,NY,-1,Itâ€™s a little lonely... @ New York, New York https://t.co/31Um7WP8NI
1133611174967369729,1559108940000,NY,0,Back in the New York Groove! https://t.co/cOUIjuNFZv
1133611573996589058,1559109035000,NY,-1,#MTASubway #ATrain #Manhattan #NYC (@ MTA Subway - A Train - @nyctsubwayscoop in New York, NY) https://t.co/Z3iICmxrXG
1133612908133474309,1559109353000,NY,0,I'm at El Rey Del Sabor in New York, NY https://t.co/xYPQc0JQzy
1133612945961824256,1559109362000,NY,0,I'm at Hippodrome in New York, NY https://t.co/QLSiM5XUP5
1133612979570786304,1559109370000,NY,-1,I'm at National Debt Clock in New York, NY https://t.co/xseJdA6IQF
1133613037674467334,1559109384000,NY,0,I'm at @STKMidtownNyc in New York, NY https://t.co/EceF09PQcP
1133613100773597185,1559109399000,NY,-1,I'm at Crave Sandwiches in New York, NY https://t.co/2j1FLO7yHe